file_version,2.0
material_basis,mass
material_unit,g
loading_basis,molar
loading_unit,mmol
pressure_mode,absolute
pressure_unit,bar
material,MCM-41
material_batch,Test
temperature,77.0
adsorbate,N2
iso_type,Isotherme
user,PI
machine,Triflex
activation_temperature,150.0
lab,MADIREL
data:[pressure, loading, other...]
loading(mmol),pressure(bar)
0.389345,7.02e-06
1.1532200000000001,0.00018700000000000002
1.8556599999999999,0.0016699999999999998
2.42349,0.0072900000000000005
2.8378099999999997,0.0185
3.13538,0.0337
3.3674199999999996,0.0513
3.56129,0.0705
3.73012,0.0903
3.8845300000000003,0.110667
4.02829,0.13125499999999998
4.1668,0.15225
4.30201,0.173172
4.434069999999998,0.193883
4.63732,0.22600399999999998
4.82881,0.25585399999999997
5.0316,0.286423
5.24524,0.316808
5.50617,0.347235
6.13495,0.376793
7.941210000000001,0.411034
8.76256,0.451615
8.96272,0.47650200000000004
9.06807,0.49353199999999997
9.22302,0.530518
9.29822,0.5599430000000001
9.361130000000001,0.589179
9.4263,0.619884
9.489289999999999,0.649308
9.558019999999999,0.6800350000000001
9.62846,0.7100350000000001
9.702860000000001,0.739805
9.783719999999999,0.769679
9.87215,0.799433
9.97242,0.829261
10.0898,0.85949
10.2351,0.888336
10.4477,0.9183979999999999
10.7866,0.945189
12.0325,0.976575
13.0881,0.9844569999999999
12.0923,0.9650920000000001
10.7908,0.9308690000000001
10.3975,0.90036
10.1278,0.8579459999999999
10.0008,0.8279040000000001
9.90559,0.80003
9.789819999999999,0.761104
9.720360000000001,0.735223
9.63671,0.7015819999999999
9.57455,0.674646
9.49566,0.6393449999999999
9.44293,0.614518
9.3764,0.58265
9.31419,0.553072
9.2609,0.52813
9.1959,0.498167
9.1254,0.469563
9.03235,0.44063
8.66245,0.422393
7.21208,0.394453
5.76374,0.36246100000000003
5.3939699999999995,0.333072
5.13392,0.29842399999999997
4.91495,0.26615700000000003
4.7139999999999995,0.235134
4.5204900000000015,0.20461400000000002
